"","type","h","rho","Vinf","Vstall","a","Clmax","Cl","Cd","ClCd","theta","t","Eeng","Wb100","R","duration","Eduration","Rduration","PA","t_total","Eeng_total","R_total","Wb84_total","Vb"
"63","2nd Segment Climb",109.558666666667,1.2121669005097,47.84796029925,39.873300249375,339.87923268053,2.7,1.87012026503464,0.0845622876352382,22.115298880057,4.13281921638432,28.4799642289751,10211358.7850464,10.2113587850464,1355.87910480633,3.58160206820678,1280439.65425739,170.874870097477,357355.880738212,57.2607444677144,20572439.6709925,2321.36247470546,25.7155495887406,0.00935110894136023
"64","2nd Segment Climb",121.92,1.21072544551321,47.8764350311898,39.8970291926582,339.831725454004,2.7,1.87014301008896,0.0845639797270919,22.1151253302453,4.12316384653952,32.0677991674576,11492958.9743659,11.4929589743659,1527.15527788559,3.58783493848244,1281600.18931955,171.276173079258,357058.36144074,60.8485794061968,21854039.8603121,2492.63864778472,27.3175498253901,0.00993365448196003
"65","3nd Segment Acceleration",121.92,1.21072544551321,47.8764350311898,39.8970291926582,339.831725454004,2.7,1.8749958818452,0.084925474087466,22.0781326450308,0,0,0,0,0,0,0,0,357058.36144074,60.8485794061968,21854039.8603121,2492.63864778472,27.3175498253901,0.00993365448196003
"66","3nd Segment Acceleration",121.92,1.21072544551321,50.3208481614489,39.8970291926582,339.831725454004,2.7,1.69725861670256,0.0722968606901046,23.4762422669739,0,3.62716921859885,1295111.09786119,1.2951110978612,178.089081473187,3.62716921859885,1295111.09786119,178.089081473187,357058.36144074,64.4757486247957,23149150.9581733,2670.7277292579,28.9364386977166,0.0105223413446242
"67","3nd Segment Acceleration",121.92,1.21072544551321,52.7652612917079,39.8970291926582,339.831725454004,2.7,1.54364610397059,0.0623947531236982,24.7399985846614,0,7.41881495851984,2648949.91292114,2.64894991292114,373.522085349732,3.79164573992099,1353838.81505995,195.433003876545,357058.36144074,68.2673943647167,24502989.7732332,2866.16073313445,30.6287372165415,0.0111377226241969
"68","3nd Segment Acceleration",121.92,1.21072544551321,55.2096744219669,39.8970291926582,339.831725454004,2.7,1.40998195702121,0.0545422969794032,25.8511657027143,0,11.3894130388657,4066685.15742917,4.06668515742917,587.884621584822,3.97059808034582,1417735.24450802,214.36253623509,357058.36144074,72.2379924450625,25920725.0177412,3080.52326936954,32.4009062721765,0.0117821477353369
"69","3nd Segment Acceleration",121.92,1.21072544551321,57.6540875522259,39.8970291926582,339.831725454004,2.7,1.2929559253076,0.0482508096430339,26.7965643452009,0,15.5548866710169,5554002.3471497,5.5540023471497,822.950133849269,4.16547363215125,1487317.18972053,235.065512264447,357058.36144074,76.4034660772137,27408042.2074618,3315.58878163399,34.2600527593272,0.0124582010033917
"70","3nd Segment Acceleration",121.92,1.21072544551321,60.0985006824849,39.8970291926582,339.831725454004,2.7,1.18991695371162,0.0431622978753666,27.56843384816,0,19.9330422100233,7117259.39004004,7.11725939004004,1080.71970705534,4.37815553900645,1563257.04289034,257.769573206072,357058.36144074,80.7816216162201,28971299.2503521,3573.35835484006,36.2141240629401,0.0131687723865237
"71","3nd Segment Acceleration",121.92,1.21072544551321,62.5429138127439,39.8970291926582,339.831725454004,2.7,1.09872170972778,0.0390109970750456,28.1644098358768,0,24.5440677582051,8763664.6168352,8.7636646168352,1363.47105480666,4.61102554818173,1646405.22679516,282.751347751323,357058.36144074,85.3926471644019,30617704.4771473,3856.10970259138,38.2721305964341,0.0139171383987033
"72","3nd Segment Acceleration",121.92,1.21072544551321,64.9873269430029,39.8970291926582,339.831725454004,2.7,1.01762221556592,0.0355971884251683,28.5871514180156,0,29.411128810581,10501489.4612286,10.5014894612286,1673.81978869787,4.86706105237589,1737824.84439338,310.348733891208,357058.36144074,90.2597082167778,32355529.3215406,4166.45843648259,40.4444116519258,0.0147070587825185
"73","3nd Segment Acceleration",121.92,1.21072544551321,67.4317400732619,39.8970291926582,339.831725454004,2.7,0.945181458997641,0.0327690893297106,28.8436901461488,0,34.5611034508046,12340330.9677282,12.3403309677282,2014.79720720579,5.14997464022364,1838841.50649962,340.977418507919,357058.36144074,95.4096828570014,34194370.8280403,4507.43585499051,42.7429635350503,0.0155428958309274
"74","3nd Segment Acceleration",121.92,1.21072544551321,69.8761532035209,39.8970291926582,339.831725454004,2.7,0.8802092954631,0.0304101435519728,28.9445952124089,0,40.0255137161221,14291444.3433024,14.2914443433024,2389.95053797117,5.46441026531746,1951113.37557421,375.153330765383,357058.36144074,100.874093122319,36145484.2036145,4882.58918575589,45.1818552545181,0.0164297655470975
"75","3nd Segment Acceleration",121.92,1.21072544551321,72.32056633378,39.8970291926582,339.831725454004,2.7,0.821713251096197,0.0284299799471686,28.9030541922008,0,45.8417321340294,16368173.7613818,16.3681737613818,2803.4741275406,5.81621841790731,2076729.41807944,413.523589569425,357058.36144074,106.690311540226,38222213.6216939,5296.11277532532,47.7777670271174,0.0173737334644063
"76","3nd Segment Acceleration",121.92,1.21072544551321,74.764979464039,39.8970291926582,339.831725454004,2.7,0.768860395347725,0.0267579000568564,28.7339587080457,0,52.0545775666779,18586522.1714479,18.5865221714479,3260.3840082499,6.21284543264856,2218348.41006608,456.9098807093,357058.36144074,112.903156972875,40440562.03176,5753.02265603462,50.5507025397,0.0183820736508
"77","3nd Segment Acceleration",121.92,1.21072544551321,77.209392594298,39.8970291926582,339.831725454004,2.7,0.720947525536889,0.0253381325047517,28.453064779012,0,58.7184702533938,20965920.7749836,20.9659207749836,3766.7544615138,6.6638926867159,2379398.60353571,506.370453263897,357058.36144074,119.567049659591,42819960.6352957,6259.39310929851,53.5249507941196,0.0194636184705889
"78","3nd Segment Acceleration",121.92,1.21072544551321,79.653805724557,39.8970291926582,339.831725454004,2.7,0.67737765513235,0.024126337299808,28.0762739372685,0,65.9004063638555,23530291.1145571,23.5302911145571,4330.04519571814,7.18193611046165,2564370.33957352,563.290734204346,357058.36144074,126.748985770052,45384330.9748692,6822.68384350286,56.7304137185865,0.0206292413522133
"79","3nd Segment Acceleration",121.92,1.21072544551321,82.098218854816,39.8970291926582,339.831725454004,2.7,0.637641327363435,0.0230870047363763,27.6190581950528,0,73.6841632828393,26309546.6059025,26.3095466059025,4959.56441595781,7.78375691898382,2779255.49134538,629.519220239668,357058.36144074,134.532742689036,48163586.4662146,7452.20306374253,60.2044830827682,0.0218925393028248
"80","4th Segment Climb",121.92,1.21072544551321,82.098218854816,53.5274816250464,339.831725454004,1.5,0.637314019108892,0.0230787045715698,27.6148090172265,1.83588916952522,0,0,0,0,0,0,0,357058.36144074,134.532742689036,48163586.4662146,7452.20306374253,60.2044830827682,0.0218925393028248
